Level;Start time;Last status time;Side;Amount (UNI);Price (USDC);Order ID
16;22.12.2025 08:12:49;22.12.2025 08:43:26;Sell;3.24;6.156;e8af282a6bfe468b8fdb0da1616c86c7;;;Completed
15;22.12.2025 08:43:26;22.12.2025 10:45:21;Buy;3.77;6.095;eee39da046fe4e6d9f2e302a724b8c2e;;;Completed
14;21.12.2025 11:06:34;22.12.2025 12:34:58;Buy;3.73;6.035;22fac60f36a54baaace4419f53d5e424;;;Completed
30;21.12.2025 11:06:28;22.12.2025 12:34:59;Sell;2.82;7.076;df911113d7214e14b190cecf2fe7f634;;*;Canceled
13;21.12.2025 11:06:34;22.12.2025 13:21:17;Buy;3.69;5.975;d4716e89f9bf4ce7b50653aad4416495;;;Completed
12;21.12.2025 11:06:34;22.12.2025 13:51:14;Buy;3.66;5.916;f7e5bd3f010642b08cc4bf845b41b58b;;;Completed
29;21.12.2025 11:06:28;22.12.2025 13:51:15;Sell;2.85;7.006;f41226abd9254b998a5279b93c695f4d;;*;Canceled
14;22.12.2025 13:51:15;22.12.2025 15:35:01;Sell;3.31;6.035;ea313b2d1a024e9997083776a62e79ae;;;Completed
15;22.12.2025 12:34:59;22.12.2025 18:51:48;Sell;3.28;6.095;64b1306f3bd34816b0aad7b32a5d0469;;;Completed
15;22.12.2025 19:04:35;22.12.2025 19:08:23;Sell;3.28;6.095;7b8d01ec831f47a6aedef86395172f35;;;Completed
15;22.12.2025 19:37:37;22.12.2025 21:24:29;Sell;3.28;6.095;53883209deb1403c8b32a8d41ec437f0;;;Completed
13;22.12.2025 15:35:02;22.12.2025 23:20:34;Buy;3.66;5.975;a772ac699deb4a2d95740e054dd51c71;;;Completed
28;21.12.2025 11:06:28;22.12.2025 23:20:35;Sell;2.88;6.937;4b8378bf4b154601b214f240b8f9c2cc;;*;Canceled
14;22.12.2025 23:20:35;23.12.2025 00:10:01;Sell;3.31;6.035;60ab39d5f4e34d4a80a268793d395ba6;;;Completed
13;23.12.2025 00:10:02;23.12.2025 01:51:16;Buy;3.66;5.975;2857902ff6ce40aaa158ba9ea937668f;;;Completed
12;22.12.2025 18:51:48;23.12.2025 02:36:12;Buy;3.69;5.916;c01cada78166487faf6f9eedb2fac89c;;;Completed
11;21.12.2025 11:06:34;23.12.2025 03:05:01;Buy;3.62;5.857;823a373d74a745e68b9b25e3418c193b;;;Completed
10;21.12.2025 11:06:34;23.12.2025 05:20:10;Buy;3.58;5.799;41919d8f46a5440e9c3238e94de20349;;;Completed
27;21.12.2025 11:06:28;23.12.2025 05:20:11;Sell;2.91;6.868;a549bf42b137444d81bff40feb572334;;*;Canceled
9;21.12.2025 11:06:34;23.12.2025 06:36:42;Buy;3.55;5.742;3c9030db90b641529c15807f5877aabf;;;Completed
8;21.12.2025 11:06:34;23.12.2025 07:46:16;Buy;3.51;5.685;bfa8cc97baab4f79b3200944b5e46a3c;;;Completed
7;21.12.2025 11:06:34;23.12.2025 23:09:02;Buy;3.48;5.629;318c1a5af2f842a089bc09b197a2580d;;;Completed
26;21.12.2025 11:06:28;23.12.2025 23:09:03;Sell;2.94;6.8;5bc05354c8ec47ef934cfc5333336bd0;;*;Canceled
11;23.12.2025 23:09:03;24.12.2025 09:34:00;Sell;3.41;5.857;2ae1bfaf95734a2c93bb3d90902b976d;;;Completed
10;24.12.2025 09:34:01;24.12.2025 11:00:08;Buy;3.48;5.799;fddeaaa53f6f46ada06a656be3ba0386;;;Completed
11;24.12.2025 11:00:09;24.12.2025 19:44:45;Sell;3.41;5.857;61684fa7247f45a7837e792f52c50543;;;Completed
10;24.12.2025 19:44:46;24.12.2025 20:47:15;Buy;3.51;5.799;eccd6de14c634b27a7422b3710b2deb4;;;Completed
11;24.12.2025 20:47:15;25.12.2025 06:15:29;Sell;3.41;5.857;4087acb7f31444dfb7396058aaa9555a;;;Completed
11;25.12.2025 06:19:18;25.12.2025 06:52:22;Sell;3.41;5.857;8706e2b8f4f34cea8ed2937891221dba;;;Completed
10;25.12.2025 06:15:30;25.12.2025 08:06:33;Buy;3.55;5.799;974af15455af45a199ab952d36e05381;;;Completed
11;25.12.2025 07:15:14;25.12.2025 08:43:50;Sell;3.41;5.857;2f798246f14444e5b352cc15a962ce12;;;Completed
26;25.12.2025 08:43:50;25.12.2025 08:43:52;Sell;2.94;6.8;e672a0a39acb495f9f622cccb25bc829;;;Open
12;23.12.2025 05:20:11;25.12.2025 08:45:51;Sell;3.38;5.916;d8f6195454944561a7b594218ba3e25a;;;Completed
13;23.12.2025 02:36:12;25.12.2025 09:30:21;Sell;3.34;5.975;34d76f72d30b432c9bc3c8668b416cb7;;;Completed
13;25.12.2025 09:50:29;25.12.2025 09:52:37;Sell;3.34;5.975;83928137812f4400a4a838d839f3869e;;;Completed
13;25.12.2025 10:06:25;25.12.2025 10:24:30;Sell;3.34;5.975;ae07d1d9d96f40f798a9de47a06febd8;;;Completed
13;25.12.2025 10:30:15;25.12.2025 11:50:20;Sell;3.34;5.975;c337eb45e2cb4963b2c82310225ee193;;;Completed
14;23.12.2025 01:43:47;25.12.2025 11:51:07;Sell;3.31;6.035;5db3f6ab3298415d8188f4fe004211b6;;;Completed
13;25.12.2025 12:05:05;25.12.2025 14:26:03;Sell;3.34;5.975;03d1ef58987a46968a80c07002460e42;;;Completed
12;25.12.2025 14:26:10;25.12.2025 15:46:08;Buy;3.62;5.916;7f314797225c4050acf58e4a5bd0d931;;;Completed
11;25.12.2025 14:26:10;25.12.2025 16:33:20;Buy;3.69;5.857;61a0b04749314e4d9ef917e721122ecb;;;Completed
10;25.12.2025 14:26:10;25.12.2025 16:38:36;Buy;3.66;5.799;583bf0b677d34b3b8c39b526d727c012;;;Completed
9;25.12.2025 14:26:10;25.12.2025 17:50:20;Buy;3.73;5.742;b861f4ac45cb4b52993ee6a72e63d235;;;Completed
13;25.12.2025 15:46:10;25.12.2025 23:04:00;Sell;3.58;5.975;7edcf4de87be4eb2887b392c3e9b26c8;;;Completed
12;25.12.2025 23:04:00;26.12.2025 00:46:59;Buy;3.73;5.916;00717649240646b9babdf701dbaae897;;;Completed
11;26.12.2025 00:46:59;26.12.2025 07:43:33;Buy;3.73;5.857;f6665ae9d2dc4783bfe7d8ddec312922;;;Completed
10;26.12.2025 07:43:33;26.12.2025 07:50:25;Buy;3.73;5.799;a80f62a0d28a492086992fc57903b77e;;;Completed
9;26.12.2025 07:50:25;26.12.2025 08:01:07;Buy;3.73;5.742;c65cbfd42f294ae1a90c9b2bf68d2f28;;;Completed
